Netflix's quarterly net income 2013-2021,
Net income generated by Netflix from 1st quarter 2013 to 3rd quarter 2021 (in million U.S. dollars),
,
Q1 2013,2.69
Q2 2013,29.47
Q3 2013,31.82
Q4 2013,48.42
Q1 2014,53.12
Q2 2014,71.02
Q3 2014,59.3
Q4 2014,83.37
Q1 2015,23.7
Q2 2015,26.34
Q3 2015,29.43
Q4 2015,43.18
Q1 2016,27.66
Q2 2016,40.76
Q3 2016,51.52
Q4 2016,66.75
Q1 2017,178.22
Q2 2017,65.6
Q3 2017,129.59
Q4 2017,185.52
Q1 2018,290.12
Q2 2018,384.35
Q3 2018,402.84
Q4 2018,133.93
Q1 2019,344.05
Q2 2019,270.65
Q3 2019,665.24
Q4 2019,586.97
Q1 2020,709.07
Q2 2020,720.2
Q3 2020,789.98
Q4 2020,542.16
Q1 2021,1706.72
Q2 2021,1353.01
Q3 2021,1449.07
